Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue2_elefant.png,ANIMAL,6.323093099985272,7.840942499984521,0,9.927607099991292,12.342066699988209,13.8431036999973
2,Pictures/Cue1_hammer.png,TOOL,15.343420499993954,16.860202199983178,1,18.760814199980814,21.361750199983362,22.861364699987462
3,Pictures/Cue2_elefant.png,ANIMAL,24.363361700001406,25.863106899982085,0,27.882582199992612,30.364857099979417,31.866344499983825
4,Pictures/Cue2_elefant.png,ANIMAL,33.36633150000125,34.86689020000631,0,36.966924199979985,39.36871749997954,40.86942999999155
5,Pictures/Cue2_elefant.png,ANIMAL,42.370053399994504,43.87166149998666,0,45.65680799999973,48.371817099978216,49.87277709998307
