Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue2_cat.png,ANIMAL,5.206669000006514,6.7413677999866195,0,9.024869999993825,11.242577600001823,12.742747199983569
2,Pictures/Cue2_cat.png,TOOL,14.24379440001212,15.759990699996706,1,18.144845700007863,20.262259399984032,21.76340570001048
3,Pictures/Cue2_cat.png,TOOL,23.263778499996988,24.780639500007965,0,26.898053299984895,29.282952899986412,30.782898200006457
4,Pictures/Cue2_cat.png,ANIMAL,32.284401100012474,33.80169449999812,0,35.43862979998812,38.30326210000203,39.80331930000102
5,Pictures/Cue2_cat.png,ANIMAL,41.30388429999584,42.82202789999428,0,45.155159299989464,47.32349049998447,48.82362300000386
