Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,Prob_cat,PredOnset,PredOffset
1,Pictures/Cue2_cat.png,TOOL,5.821151599986479,7.338576299982378,,,11.839509799989173,13.340971500001615,Congruent,8.842249099980108,10.339265299990075
2,Pictures/Cue1_hammer.png,TOOL,14.840492499992251,16.357897599984426,,,20.860437600000296,22.361153699981514,Congruent,17.86104669998167,19.361331699998118
3,Pictures/Cue1_hammer.png,TOOL,23.8621901999868,25.379935200006003,,,29.880179800005862,31.38145709998207,Congruent,26.883031799981836,28.379839700006414
4,Pictures/Cue2_cat.png,ANIMAL,32.881575999985216,34.39914170000702,,,38.90074620000087,40.40071339998394,Congruent,35.90196379998815,37.39979329999187
5,Pictures/Cue1_hammer.png,ANIMAL,41.902045399998315,43.41866219998337,,,47.92180290000397,49.42183700000169,Incongruent,44.9221877999953,46.42011859998456
6,Pictures/Cue2_cat.png,TOOL,50.92258359998232,52.43976809998276,,,56.941248799994355,58.441266699985135,Incongruent,53.94264649998513,55.43979579998995
7,Pictures/Cue2_cat.png,ANIMAL,59.942041999980574,61.45972429998801,,,65.96215310000116,67.46132839997881,Congruent,62.961799299984705,64.46016069999314
8,Pictures/Cue2_cat.png,TOOL,68.9620808000036,70.47917059998144,,,74.98130449999007,76.48295809997944,Congruent,71.98250039998675,73.48102399997879
9,Pictures/Cue2_cat.png,TOOL,77.98246339999605,79.49992529998417,,,84.001505799999,85.50116129999515,Incongruent,81.00254059999133,82.50058160000481
10,Pictures/Cue2_cat.png,TOOL,87.00291909999214,88.52088729999377,,,93.02128449999145,94.52252090000547,Incongruent,90.0246560999949,91.52096649998566
