Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,Prob_cat,PredOnset,PredOffset
1,Pictures/Cue1_hammer.png,TOOL,8.473045899998397,10.007816700002877,,,14.508277200016892,16.009909699991113,Congruent,11.51076030000695,13.007886300008977
2,Pictures/Cue1_hammer.png,TOOL,17.509055900009116,19.02654019999318,,,23.52899660001276,25.02937020000536,Congruent,20.528638899995713,22.027621000015642
3,Pictures/Cue2_cat.png,ANIMAL,26.529074699996272,28.0482389999961,,,32.54820389999077,34.050009900005534,Incongruent,29.549665300000925,31.04826840001624
4,Pictures/Cue1_hammer.png,TOOL,35.54998850001721,37.0672792000114,,,41.569422700005816,43.06963730001007,Incongruent,38.571402400004445,40.06830450001871
5,Pictures/Cue1_hammer.png,TOOL,44.570260900014546,46.08856350000133,,,50.58901500000502,52.08935160000692,Congruent,47.58878240000922,49.08856050000759
6,Pictures/Cue1_hammer.png,TOOL,53.59059539998998,55.10863229999086,,,59.60875919999671,61.110328500013566,Congruent,56.608360799989896,58.10942300001625
