Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,PredOffset,PredOnset,Prob_cat
1,Pictures/Cue2_cat.png,ANIMAL,10.771325699985027,12.304852899978869,1,14.259355399990454,16.805157399969175,18.307450199965388,15.305250199977309,13.807794300024398,Congruent
2,Pictures/Cue2_cat.png,ANIMAL,19.80748570000287,21.32698650006205,0,23.56056640006136,25.82718180003576,27.327155100065283,24.327396900043823,22.82980830001179,Congruent
3,Pictures/Cue1_hammer.png,ANIMAL,28.827278900076635,30.360763299977407,1,32.31118509999942,34.86097530007828,36.3610940000508,33.36120559996925,31.863640499999747,Incongruent
4,Pictures/Cue1_hammer.png,ANIMAL,37.86126769997645,39.394631000002846,0,41.21155160001945,43.89486360002775,45.39493449998554,42.395185800036415,40.89756159996614,Incongruent
