Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Cue 2,ANIMAL,6.547856400022283,8.047957499977201,1,10.002613699994981,12.550376900006086,14.0504563000286
2,Cue 2,ANIMAL,15.55308750004042,17.053184899967164,1,18.886882000020705,21.55348060000688,23.053452700027265
3,Cue 1,TOOL,24.553630299982615,26.053621500032023,1,27.848597200005315,30.553931399947032,32.053982399986126
4,Cue 1,TOOL,33.55411919998005,35.05419359996449,0,36.92113639996387,39.55444019997958,41.05454779998399
5,Cue 2,TOOL,42.55462960002478,44.05480479996186,1,45.90530129999388,48.55498619994614,50.055114099988714
6,Cue 1,ANIMAL,51.55516670003999,53.05538749997504,1,54.90079390001483,57.56746709998697,59.06742860004306
7,Cue 1,TOOL,60.56761120003648,62.06996120000258,0,64.23692299996037,66.57275179994758,68.07286880002357
8,Cue 1,ANIMAL,69.57300530001521,71.07309910003096,1,72.94511450000573,75.57337260001805,77.0734461999964
9,Cue 1,ANIMAL,78.57356930000242,80.07360110001173,0,81.89043110003695,84.57383689994458,86.07393239997327
10,Cue 1,ANIMAL,87.57399419997819,89.07418160000816,1,91.12448020000011,93.57436179998331,95.07444590004161
