Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset,Prob_cat,PredOnset,PredOffset
1,Pictures/Cue2_cat.png,ANIMAL,6.0525542999967,7.586582599993562,,,12.08869030000642,13.5893500999955,Congruent,9.090508399996907,10.587688500003424
2,Pictures/Cue2_cat.png,ANIMAL,15.090240299992729,16.606654500006698,,,21.109350600017933,22.60807330001262,Incongruent,18.11132200001157,19.60782790000667
3,Pictures/Cue1_hammer.png,ANIMAL,24.110189200000605,25.62801539999782,,,30.128383100003703,31.62834210001165,Incongruent,27.130542400002014,28.627359100006288
4,Pictures/Cue2_cat.png,TOOL,33.12994770001387,34.64667000001646,,,39.14802660001442,40.65002870000899,Incongruent,36.15098169998964,37.647249700006796
