Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue2_cat.png,ANIMAL,4.519904700020561,6.037120300024981,0,8.25437690000399,10.53859530002228,12.039415000006557
2,Pictures/Cue2_cat.png,ANIMAL,13.540733800007729,15.057629000017187,0,17.12708990002284,19.560054800007492,21.059381200000644
3,Pictures/Cue2_cat.png,ANIMAL,22.559738600015407,24.07651640000404,0,26.247927800024627,28.578911100019468,30.079289700021036
4,Pictures/Cue1_hammer.png,ANIMAL,31.58045650002896,33.09676820001914,,,37.59938020000118,39.09892680001212
5,Pictures/Cue1_hammer.png,ANIMAL,40.60007910002605,42.11713700002292,,,46.62047690001782,48.12017960002413
