Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue1_hammer.png,TOOL,4.706738499982748,6.222801099997014,1,8.173510799999349,10.724872699996922,12.22572359998594
2,Pictures/Cue2_elefant.png,ANIMAL,13.725504100002581,15.227331600006437,0,17.562823599990224,19.729249299998628,21.228980899992166
3,Pictures/Cue2_elefant.png,ANIMAL,22.728920099994866,24.23115289999987,0,26.780521099979524,28.732133199984673,30.23175989999436
4,Pictures/Cue2_elefant.png,ANIMAL,31.732655200001318,33.232959699991625,0,36.10096359997988,37.73596029999317,39.235712099995
5,Pictures/Cue2_elefant.png,ANIMAL,40.73632599998382,42.23605300000054,1,44.453906099981396,46.73864799999865,48.23856219998561
