Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue1_hammer.png,TOOL,5.353722800005926,6.8710920000157785,1,8.821117800020147,11.371597100020153,12.872216600022512
2,Pictures/Cue1_hammer.png,ANIMAL,14.373067900014576,15.891178599995328,1,17.840364600007888,20.392679200012935,21.89269940002123
3,Pictures/Cue1_hammer.png,ANIMAL,23.392957100004423,24.9098093000066,1,27.677166800014675,29.412196699995548,30.912475500022992
4,Pictures/Cue2_cat.png,ANIMAL,32.41399190001539,33.93020709999837,0,35.8641867999977,38.43247060000431,39.93274060002295
5,Pictures/Cue2_cat.png,ANIMAL,41.433241000020644,42.950221900013275,0,45.584271500003524,47.451912699994864,48.95307050002157
