Trial,Cue,Category,CueOnset,CueOffset,Prediction,ReactionTime,WordOnset,WordOffset
1,Pictures/Cue2_cat.png,ANIMAL,10.269207999983337,11.787085299991304,0,13.720650499977637,16.29043489997275,17.78840679998393
2,Pictures/Cue2_cat.png,ANIMAL,19.28915089997463,20.80759999997099,0,23.35768679998,25.309084999986226,26.809498499991605
3,Pictures/Cue2_cat.png,TOOL,28.31058639998082,29.827228499983903,0,32.04402799997479,34.3293378999806,35.83011889999034
4,Pictures/Cue1_hammer.png,ANIMAL,37.330088199989405,38.84732969998731,1,40.7475790999888,43.34982659999514,44.84973849999369
5,Pictures/Cue1_hammer.png,ANIMAL,46.35072229997604,47.867999599984614,0,49.71777319998364,52.36922969997977,53.8702846999804
6,Pictures/Cue1_hammer.png,ANIMAL,55.37076119999983,56.88775719999103,,,61.38940129999537,62.8904381999746
7,Pictures/Cue1_hammer.png,ANIMAL,64.39023739998811,65.90837009999086,,,70.40971179999178,71.91050109997741
8,Pictures/Cue2_cat.png,ANIMAL,73.4105507999775,74.9278520999942,,,79.42955809997511,80.93002419997356
9,Pictures/Cue2_cat.png,ANIMAL,82.43024499999592,83.94772079997347,,,88.44895809999434,89.95074819997535
10,Pictures/Cue2_cat.png,ANIMAL,91.45095569998375,92.9685724999872,,,97.47108959997422,98.97037409999757
